"Attribute Properties",属性性质,module,Magento_Eav
"Default label",默认标签,module,Magento_Eav
"Attribute Code",属性代码,module,Magento_Eav
"Catalog Input Type for Store Owner",店主的目录输入的类型,module,Magento_Eav
"Values Required",必须设定任务名,module,Magento_Eav
"Default Value",默认值,module,Magento_Eav
"Unique Value",组ID为“%1”不存在。,module,Magento_Eav
"Unique Value (not shared with other products)","(不能与其他产品共享) 的独特价值",module,Magento_Eav
"Not shared with other products",不能与其他产品共享,module,Magento_Eav
"Input Validation for Store Owner",店主的输入的验证,module,Magento_Eav
Required,必填,module,Magento_Eav
Yes,是,module,Magento_Eav
No,否,module,Magento_Eav
System,系统,module,Magento_Eav
None,无,module,Magento_Eav
"Decimal Number",十进制数,module,Magento_Eav
"Integer Number",整数,module,Magento_Eav
Email,邮箱,module,Magento_Eav
Letters,字母,module,Magento_Eav
"Letters (a-z, A-Z) or Numbers (0-9)","字母 (a 到 z、 A 到 Z) 或数字 (0-9)",module,Magento_Eav
"Text Field",文本区,module,Magento_Eav
"Text Area",文本区域,module,Magento_Eav
Date,日期,module,Magento_Eav
Yes/No,URL,module,Magento_Eav
"Multiple Select",多选,module,Magento_Eav
Dropdown,下拉,module,Magento_Eav
"Input type ""%value%"" not found in the input types list.","""%value%""在输入的类型列表中未找到的输入的类型。",module,Magento_Eav
"Attribute object is undefined",是未定义的属性对象,module,Magento_Eav
"Entity object is undefined",是未定义的实体对象,module,Magento_Eav
"""%1"" invalid type entered.","""%1""输入的类型无效。",module,Magento_Eav
"""%1"" contains non-alphabetic or non-numeric characters.","""%1""中包含非字母或非数字字符。",module,Magento_Eav
"""%1"" is an empty string.","""%1""是一个空字符串。",module,Magento_Eav
"""%1"" contains non-numeric characters.","""%1""包含非数字字符。",module,Magento_Eav
"""%1"" contains non-alphabetic characters.","""%1""中包含非字母字符。",module,Magento_Eav
"""%1"" is not a valid email address.","""%1""不是一个有效的电子邮件地址。",module,Magento_Eav
"""%1"" is not a valid hostname.","""%1""不是一个有效的主机名。",module,Magento_Eav
"""%1"" is not a valid URL.","""%1""不是一个有效的 URL。",module,Magento_Eav
"""%1"" is not a valid date.","""%1""不是一个有效的日期。",module,Magento_Eav
"""%1"" does not fit the entered date format.","""%1""并不适合输入的日期格式。",module,Magento_Eav
"""%1"" is a required value.","""%1""是一个必需的值。",module,Magento_Eav
"Please enter a valid date between %1 and %2 at %3.","请输入一个有效的日期 %1 和 %2 在 %3 之间。",module,Magento_Eav
"Please enter a valid date equal to or greater than %1 at %2.",请输入与%2相同或大于%1的有效日期。,module,Magento_Eav
"Please enter a valid date less than or equal to %1 at %2.",请输入小于或等于%1%2的有效日期。,module,Magento_Eav
"""%1"" is not a valid file extension.","""%1""不是一个有效的文件扩展名。",module,Magento_Eav
"""%1"" is not a valid file.","""%1""不是一个有效的文件。",module,Magento_Eav
"""%1"" exceeds the allowed file size.","""%1""超出了允许的文件大小。",module,Magento_Eav
"""%1"" is not a valid image format","""%1""不是一种有效的图像格式",module,Magento_Eav
"""%1"" width exceeds allowed value of %2 px.","“%1”宽度超过了%2 px的值。",module,Magento_Eav
"""%1"" height exceeds allowed value of %2 px.","“%1”的高度超过了%2 px的值。",module,Magento_Eav
